cancel	cancelar	Se_ha_cancelado_el_concierto.	The_concert_has_been_cancelled.
reply	responder	Por_favor,_no_responda_a_este_mensaje	Please_do_not_reply_to_this_message.
sign	firmar	No_olvides_firmar_la_carta.	Don't_forget_to_sign_the_letter.
have	tener	She_has_two_borthers_and_three_sisters.	Ella_tiene_dos_hermanos_y_tres_hermanas.
tell	decir	Prometió_decir_la_verdad.	She_promised_to_tell_the_truth.
listen	escuchar	Para_empezar,_debemos_escuchar_cuidadosamente_lo_que_dicen.	To_begin_with,_we_should_listen_carefully_to_what_they_say.
understand	entender	Resultó_realmente_difícil_entenderle.	It_was_really_difficult_to_understand_him.
learn	aprender	He_decidido_aprender_francés.	I_have_decided_to_learn_French.
read	leer	Muchas_persons_suelen_leer_el_periódicopor_las_mañanas.	A_lot_of_people_usually_read_the_newspaper_in_the_morning.
succeed	tener_exito	Si_no_tienes_éxito_la_primera_vez,_inténtalo_otra_vez.	If_at_first_you_don't_succeed,_try_again.
drink	beber	Es_importante_beber_agua.	It_is_important_to_drink_water.
forget	olvidar	He_olvidado_tu_nombre.	I_have_forgotten_your_name.
borrow	prestar	¿Me_puedes_prestar_un_bolígrafo?	Can_you_lend_me_a_pen?
give	dar	¿Qué_le_vas_a_dar_de_regalo_a_tu_madre?	What_present_are_you_going_to_give_your_mother?
accept	aceptar	Si_la_otra_persona_no_acepta_la_responsabilidad_del_accidente,_busque_testigos.	If_the_other_person_does_not_accept_responsibility_for_the_accident,_look_for_witnesses.
find	encontrar	¿Dónde_encontraste_tus_llaves?	Where_did_you_find_your_keys?
speak	hablar	¿Cuántos_idiomas_hablas?	How_many_languages_do_you_speak?
swim	nadar	Aprendí_a_nadar_cuando_tenía_8_años.	I_learnt_to_swim_when_I_was_8.
fix	reparar	Tengo_que_reparar_mi_coche:_no_funcionan_las_luces_de_freno.	I_must_fix_my_car:_the_brakelights_don't_work.
start/begin	comenzar	Los_cursos_de_español_empiezan_todos_los_lunes.	Spanish_courses_start_every_Monday.
stand	ponerse_de_pie	¡Qué_se_pongan_de_pie_y_que_se_cuenten!	Stand_up_and_be_counted!
take	tomar	To_get_to_the_chapel,_it_is_necessary_to_take_a_taxi.	Para_llegar_a_la_capilla,_hay_que_tomar_un_taxi.
think	pensar	Sé_lo_que_estás_pensando.	I_know_what_you_are_thinking.
watch	mirar	Mírame_cuidadosamente.	Watch_me_carefully.
go	ir	¿A_qué_hora_vas_a_clase_de_inglés?	What_time_do_you_go_to_English_class?
translate	traducir	¿Cómo_traducirías_\"siesta\"_al_inglés?	How_would_you_translate_\"siesta\"_into_English?
organize	organizar	Estamos_organizando_una_fiesta_para_el_equipo.	We_are_organizing_a_party_for_the_team.
dance	bailar	¿Quieres_bailar_conmigo?	Would_you_like_to_dance_with_me?
clean	limpiar	Deberías_limpiar_tu_cuarto_después_del_colegio.	You_should_clean_your_room_after_school.
hurt	dañar_/_herir	Si_digo_que_no,_le_heriré_sus_sentimientos.	If_I_say_no,_I_will_hurt_her_feelings.
need	necesitar	Si_necesita_ayuda,_pídale_consejos_a_su_doctor.	If_you_need_help,_ask_your_doctor_for_advice.
type	escribir_a_máquina	Ella_puede_escribir_a_máquina_más_rápido_que_él.	She_can_type_faster_than_him.
know	saber_/_conocer	¿Cuántas_palabras_sabes?	How_many_words_do_you_know?
drive	conducir	¿Por_qué_en_Inglaterra_se_conduce_por_la_izquierda?	Why_do_they_drive_on_the_left_in_England?
try	intentar	Intenta_no_preocuparse_demasiado_por_su_hija.	He_tries_not_to_worry_too_much_about_his_daughter.
teach	enseñar	Mi_padre_me_enseñó_a_conducir.	My_father_taught_me_to_drive.
sleep	dormir	¿Cuántas_horas_duermes_cada_noche?	How_many_hours_do_you_sleep_each_night?
break	romper	Se_ha_roto_el_brazo.	She_has_broken_her_arm.
live	vivir	Si_llevas_una_vida_sana,_vivirás_más_años.	If_you_lead_a_healthy_life,_you_will_live_longer.
lose	perder	Federer_perdió_el_partido_2-6,_6-2,_3-6.	Federer_lost_the_match_2-6,_6-2,_3-6.
travel	viajar	Viaja_mucho_con_su_trabajo.	She_travels_a_lot_with_her_job.
look	mirar	El_mecánico_miró_por_debajo_del_coche_para_ver_si_había_una_fuga.	The_mechanic_looked_under_the_car_to_see_if_there_was_a_leak.
close/shut	cerrar	Antes_de_salir,_cierre_todas_las_ventanas.	Before_you_go_out,_close_all_the_windows.
turn_on	encender	Hay_un_botón_para_encender_la_TV.	There_is_a_button_to_turno_on_the_TV.
sell	vender	Venden_su_casa_en_Londres_para_mudarse_a_Los_Angeles.	They_are_selling_their_house_in_London_to_move_to_Los_Angeles.
fit	caber	Este_anillo_no_me_cabe_en_el_dedo.	This_ring_doesn't_fit_on_my_finger.
count	contar	Si_se_enfada,_cuente_hasta_10_antes_de_reaccionar.	If_you_get_angry,_count_to_ten_before_reacting.
fill	llenar	Si_llenas_la_botella_con_agua_de_la_fuente,_no_tendrás_sed.	if_you_fill_the_bottle_with_water_from_the_fountain,_you_won't_be_hungry.
make_do	hacer	Debes_hacer_la_cama_y_ordenar_tu_cuarto.	You_must_make_your_bed_and_tidy_your_room.
bring	traer	Traéte_unas_botellas_de_cerveza_a_la_fiesta.	Bring_some_bottles_of_beer_with_you_to_the_party.
believe	creer	Los_ateos_no_creen_en_Dios.	Atheists_do_not_believe_in_God.
worry	preocuparse	No_te_preocupes,_tu_madre_vendrá_pronto.	Don't_worry,_your_motherwill_come_soon.
play	jugar	Me_gusta_jugar_al_tenis.	I_like_playing_tennis.
open	abrir	Usa_un_sacacorchos_para_abrir_la_botella_de_vino.	Use_a_corkscrew_to_open_the_bottle_of_wine.
fall	caerse	Un_anciano_se_cayó_por_un_barranco.	An_old_man_fell_down_a_ravine.
wake_up	despertar	Normalmente_me_despierto_a_las_7:45.	I_normally_wake_up_at_7:45.
can/be_able	poder	Si_quieres,_podemos_jugar_al_ajedrez.	If_you_want,_we_can_play_chess.
work	trabajar	Trabajan_12_horas_al_día.	They_work_12_hours_a_day.
comb	peinar	Usa_un_peine_para_peinarte_el_pelo.	Use_a_comb_to_comb_your_hair.
put	poner	Puso_el_ramo_de_flores_en_un_florero.	She_put_the_bunch_of_flowers_in_a_vase.
rain	llover	Llovió_durante_40_días_y_40_noches.	It_rained_for_40_days_and_40_nights.
pay	pagar	Le_pagan_10_euros_la_hora.	They_pay_her_10_euros_an_hour.
study	estudiar	Hay_que_estudiar_mucho_para_ser_abogado.	You_have_to_study_hard_to_be_a_lawyer.
wait	esperar	Tuvimos_que_esperar	We_had_to_wait_6_hours_for_her.
turn_off	apagar	Antes_de_cerrar_la_puerta,_apaga_todas_las_luces.	Before_closing_the_door,_turn_off_all_the_lights.
complain	quejarse	No_hay_mucho_de_lo_que_quejarse.	There_is_nothing_much_to_complain_about.
eat	comer	Los_vegetarianos_no_comen_carne.	Vegetarians_don't_eat.
spend	gastar	Intentan_no_gastar_mucho_dinero.	They_are_trying_not_to_spend_much_money.
explain	explicar	Tenemos_un_documento_legal_que_explica_nuestra_política.	We_have_a_legal_document_which_explains_our_policy.
smoke	fumar	I_don't_smoke_any_more.	Ya_no_fumo.
allow	permitir_/_dejar	No_se_permite_fumar.	Smoking_is_not_permitted.
fly	volar	Un_pájaro_vuela_a_una_velocidad_de_5m/s.	A_bird_flies_at_a_speed_of_5m/s.
change	cambiar	Hay_que_cambiar_muchas_cosas_en_este_país.	It_is_necessary_to_change_a_lot_of_things_in_this_country.
say	decir	Los_chicos_dijeron_que_no_habían_visto_a_nadie.	The_boys_said_they_hadn't_seen_anyone.
buy	comprar	Si_vas_al_supermercado,_compra_vino_tinto.	If_you_go_to_the_supermarket,_buy_some_red_wine.
want	querer_-_desear	Quiero_viajar_por_todo_el_mundo.	I_want_to_travel_around_the_world.
run	correr	Su_objetivo_es_correr_un_maratón.	His_goal_is_to_run_a_marathon.
cough	toser	Cubre_tu_boca_cada_vez_que_toses.	Cover_your_mouth_whenever_you_cough.
hear	oir	Tienes_que_hablar_más_fuerte:_no_te_oigo.	You_must_speak_louder:_I_can't_hear_you.
